0 30 0 0 0 0 0
10 30 0 0 0 0 0
20 30 0 0 0 0 0
30 30 0 0 0 0 0
40 30 0 0 0 0 0
50 30 0 0 0 0 0
60 30 0 0 0 0 0
70 30 0 0 0 0 0
80 30 0 0 0 0 0
90 30 0 0 0 0 0
100 30 0 0 0 0 0
110 30 0 0 0 0 0
120 30 0 0 0 0 0
130 30 0 0 0 0 0
140 30 0 0 0 0 0
150 30 0 0 0 0 0
160 30 0 0 0 0 0
170 30 0 0 0 0 0
180 30 0 0 0 0 0
190 30 0 0 0 0 0
200 30 0 0 0 0 0
210 30 0 0 0 0 0
220 30 0 0 0 0 0
230 30 0 0 0 0 0
240 30 0 0 0 0 0
250 30 0 0 0 0 0
260 30 0 0 0 0 0
270 30 0 0 0 0 0
280 30 0 0 0 0 0
290 30 0 0 0 0 0
300 30 0 0 0 0 0
310 30 0 0 0 0 0
320 30 0 0 0 0 0
330 30 0 0 0 0 0
340 30 0 0 0 0 0
350 30 0 0 0 0 0
360 30 0 0 0 0 0
370 30 0 0 0 0 0
380 30 0 0 0 0 0
390 30 0 0 0 0 0
400 30 0 0 0 0 0
410 30 0 0 0 0 0
420 30 0 0 0 0 0
430 30 0 0 0 0 0
440 30 0 0 0 0 0
450 30 0 0 0 0 0
460 30 0 0 0 0 0
470 30 0 0 0 0 0
480 30 0 0 0 0 0
490 30 0 0 0 0 0
500 30 0 0 0 0 0
510 30 0 0 0 0 0
520 30 0 0 0 0 0
530 30 0 0 0 0 0
540 30 0 0 0 0 0
550 30 0 0 0 0 0
560 30 0 0 0 0 0
570 30 0 0 0 0 0
580 30 0 0 0 0 0
590 30 0 0 0 0 0
600 30 0 0 0 0 0
610 30 0 0 0 0 0
620 30 0 0 0 0 0
630 30 0 0 0 0 0
640 30 0 0 0 0 0
650 30 0 0 0 0 0
660 30 0 0 0 0 0
670 30 0 0 0 0 0
680 30 0 0 0 0 0
690 30 0 0 0 0 0
700 30 0 0 0 0 0
710 30 0 0 0 0 0
720 30 0 0 0 0 0
730 30 0 0 0 0 0
740 30 0 0 0 0 0
750 30 0 0 0 0 0
760 30 0 0 0 0 0
770 30 0 0 0 0 0
780 30 0 0 0 0 0
790 30 0 0 0 0 0
800 30 0 0 0 0 0
810 30 0 0 0 0 0
820 30 0 0 0 0 0
830 30 0 0 0 0 0
